__CLASS__,tag,label
Adzuna::API::Response::Category,accounting-finance-jobs,Accounting & Finance Jobs
Adzuna::API::Response::Category,it-jobs,IT Jobs
Adzuna::API::Response::Category,sales-jobs,Sales Jobs
Adzuna::API::Response::Category,customer-services-jobs,Customer Services Jobs
Adzuna::API::Response::Category,engineering-jobs,Engineering Jobs
Adzuna::API::Response::Category,hr-jobs,HR & Recruitment Jobs
Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs
Adzuna::API::Response::Category,hospitality-catering-jobs,Hospitality & Catering Jobs
Adzuna::API::Response::Category,pr-advertising-marketing-jobs,"PR, Advertising & Marketing Jobs"
Adzuna::API::Response::Category,logistics-warehouse-jobs,Logistics & Warehouse Jobs
Adzuna::API::Response::Category,teaching-jobs,Teaching Jobs
Adzuna::API::Response::Category,trade-construction-jobs,Trade & Construction Jobs
Adzuna::API::Response::Category,admin-jobs,Admin Jobs
Adzuna::API::Response::Category,legal-jobs,Legal Jobs
Adzuna::API::Response::Category,creative-design-jobs,Creative & Design Jobs
Adzuna::API::Response::Category,graduate-jobs,Graduate Jobs
Adzuna::API::Response::Category,retail-jobs,Retail Jobs
Adzuna::API::Response::Category,consultancy-jobs,Consultancy Jobs
Adzuna::API::Response::Category,manufacturing-jobs,Manufacturing Jobs
Adzuna::API::Response::Category,scientific-qa-jobs,Scientific & QA Jobs
Adzuna::API::Response::Category,social-work-jobs,Social work Jobs
Adzuna::API::Response::Category,travel-jobs,Travel Jobs
Adzuna::API::Response::Category,energy-oil-gas-jobs,"Energy, Oil & Gas Jobs"
Adzuna::API::Response::Category,property-jobs,Property Jobs
Adzuna::API::Response::Category,charity-voluntary-jobs,Charity & Voluntary Jobs
Adzuna::API::Response::Category,domestic-help-cleaning-jobs,Domestic help & Cleaning Jobs
Adzuna::API::Response::Category,maintenance-jobs,Maintenance Jobs
Adzuna::API::Response::Category,part-time-jobs,Part time Jobs
Adzuna::API::Response::Category,other-general-jobs,Other/General Jobs
Adzuna::API::Response::Category,unknown,Unknown
