company,avg_positive,avg_negative,avg_engagement,overall_sentiment,job_count,avg_salary
Amazon,0.0,0.6666666666666666,1.3333333333333333,-0.4728370221327968,3,42206.85
BRIGHTERBOX,1.0,0.0,0.0,0.6803035912624953,2,25036.5
Bluetownonline,1.0,0.0,1.0,0.6472693972693973,4,57446.7525
Bolton Council,1.0,0.0,0.0,0.6451881451881452,2,26688.75
CBRE,0.4,0.0,0.6,0.28269617706237427,10,39543.964
CBRE Enterprise EMEA,1.1666666666666667,0.0,1.5,0.7474103474699066,6,34530.25666666667
Davies,2.0,0.0,2.0,1.0,6,51706.38333333333
Department for Work and Pensions,0.5,0.0,1.25,0.3400735294117647,4,48182.034999999996
FINANCIAL CONDUCT AUTHORITY,1.0,0.0,1.0,0.6536226930963773,2,68201.48000000001
Framestore,1.75,0.75,0.75,0.6415343915343915,4,30748.585
Google,0.6666666666666666,0.0,1.3333333333333333,0.5060961582700713,3,50081.64333333333
Graphcore,1.0,0.0,0.0,0.6578947368421053,2,53781.6
IT Career Switch,3.0,0.0,2.0,1.0,3,37480.450000000004
ITOL Recruit,1.0,0.0,1.0,0.6578947368421053,3,40106.07666666667
Innovate UK,0.0,0.0,1.0,0.0,2,60706.75
JPMorganChase,3.4,0.0,2.2,1.0,5,66861.13
James Paget University Hospitals NHS Foundation Trust,0.0,0.0,1.0,0.0,3,40035.0
Justice Digital,1.0,0.0,1.5,0.6622807017543859,2,68909.0
LILT,3.0,0.0,2.0,1.0,2,94291.22
Medicines and Healthcare products Regulatory Agency,1.5,0.0,0.0,0.8378378378378378,2,42381.195
Microsoft,1.6666666666666667,0.0,2.6666666666666665,0.8981481481481483,3,53046.746666666666
Monzo,1.0,0.0,0.0,0.5494505494505494,2,62850.0
NHS Scotland,0.0,0.0,1.1666666666666667,0.0,6,42983.015
Ofgem,1.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,3,45510.77
Polar Recruitment Services Ltd,2.5,0.0,1.0,1.0,2,62010.785
SURREY COUNTY COUNCIL,1.0,0.0,1.0,0.5682551982435748,2,50002.72
Sigma Group,1.6666666666666667,0.0,1.0,0.8888888888888888,3,35443.19666666666
THAMES REACH,0.0,0.0,1.0,0.0,2,34954.835
The Opportunity Hub UK,2.0,0.5,1.0,0.1951219512195122,2,30000.0
The UK Committee for UNICEF ,1.0,0.0,0.0,0.581473968897904,2,61377.130000000005
UK Health Security Agency,0.0,0.0,1.0,0.0,5,37013.9
UNIVERSITY OF OXFORD-12,1.5,0.0,2.0,0.8333333333333333,2,52357.78
Versus Arthritis,1.5,0.0,1.5,0.8125,2,41834.575
Volunteering Matters,0.0,0.0,1.5,0.0,2,31178.04
WOODLAND TRUST,2.0,0.0,0.0,1.0,2,49500.384999999995
Washwood Heath MAT,1.0,0.0,2.0,0.5,2,45993.5
West Midlands Combined Authority ,2.5,0.5,2.0,0.8378378378378378,2,40506.75
Yorkshire Building Society,2.0,0.0,1.0,1.0,2,34000.0
poolside,0.0,0.0,1.0,0.0,13,59882.42230769231
